date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,close_diff_1,adAverage_diff_1,adAverage_pct_1,adclose_pct_1,adclose_diff_1,close_pct_1,close_diff_1_shift_back_1,adAverage_diff_1_shift_back_1,adclose_diff_1_shift_back_1,adclose_pct_1_shift_back_1,adAverage_pct_1_shift_back_1,close_pct_1_shift_back_1,SMA_10,SMA_20,RSI,Stoch,adClose_Lag1,adClose_Lag2,VWAP,ADL,Upper_Band,Middle_Band,Lower_Band,MACD,%K,%D,MoM
2019-07-05,10.9,12.5,9.3,10.9,10.9,10.9,10.9,10.9,9.295,9.295,9.295,9.295,9.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-1.3645,-1.3639999999999999,-0.14674556213017753,-14.6789,-0.14678899082568808,9.295,9.295,74.42325285091931,1.1723955140041653e-13,9.295,9.295,,-9679.153021978043,9.29499999999999,9.29499999999999,9.29499999999999,0.1823938081026224,3.671137468093851e-14,6.789630586152068e-14,0.0
2019-07-08,10.9,12.5,9.3,9.3,9.3,9.3,9.3,9.3,7.931,7.931,7.931,7.931,7.931,1100.0,10230000.0,-1.6,-1.3645,-14.6789,-0.14674556213017753,-1.3639999999999999,-0.14678899082568808,0.0,0.0,0.0,0.0,0.0,0.0,9.1586,9.2268,18.96905016461138,-28.520833333333233,9.295,9.295,7.931,-9679.153021978043,9.821353815898679,9.22679999999999,8.632246184101302,0.0625386508281931,-28.520833333333314,-9.506944444444382,-1.3639999999999999
2019-07-09,9.3,10.6,8.0,9.3,9.3,9.3,9.3,9.3,7.931,7.931,7.931,7.931,7.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0222,9.1586,18.969050164611378,-57.04166666666659,7.931,9.295,0.0,-9679.153021978043,9.976999999999782,9.158599999999991,8.3402000000002,-0.03207765359853276,-57.041666666666664,-28.520833333333282,-1.3639999999999999
2019-07-10,9.3,10.6,8.0,9.3,9.3,9.3,9.3,9.3,7.931,7.931,7.931,7.931,7.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8858,9.090399999999999,18.969050164611374,-85.56249999999994,7.931,7.931,0.0,-9679.153021978043,10.064490837653038,9.090399999999992,8.116309162346946,-0.10584167953287782,-85.56250000000001,-57.04166666666663,-1.3639999999999999
2019-07-11,9.3,10.6,8.0,9.3,9.3,9.3,9.3,9.3,7.931,7.931,7.931,7.931,7.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7494,9.0222,18.969050164611378,-85.56249999999994,7.931,7.931,0.0,-9679.153021978043,10.113399999999741,9.022199999999994,7.931000000000248,-0.16242783455798815,-85.56250000000001,-76.05555555555553,-1.3639999999999999
2019-07-12,9.3,10.6,8.0,9.3,9.3,9.3,9.3,9.3,7.931,7.931,7.931,7.931,7.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-1.0234,-1.0229999999999997,-0.12898751733703184,-12.9032,-0.12903225806451624,8.613000000000001,8.953999999999999,18.969050164611378,-57.04166666666659,7.931,7.931,0.0,-9679.153021978043,10.135258650761708,8.953999999999995,7.772741349238282,-0.20491068724651562,-85.56250000000001,-85.56249999999999,-1.3639999999999999
2019-07-15,9.3,10.6,8.0,8.1,8.1,8.1,8.1,8.1,6.908,6.908,6.908,6.908,6.908,100.0,810000.0,-1.2,-1.0234,-12.9032,-0.12898751733703184,-1.0229999999999997,-0.12903225806451624,0.0,0.0,0.0,0.0,0.0,0.0,8.374300000000002,8.83465,10.483102706667854,-61.63194444444431,7.931,7.931,0.5756666666666668,-9679.153021978043,10.30174280892501,8.834649999999995,7.3675571910749795,-0.3174666466207583,-71.23214285714285,-80.78571428571426,-2.3869999999999996
2019-07-16,8.1,9.3,6.9,8.1,8.1,8.1,8.1,8.1,6.908,6.908,6.908,6.908,6.908,500.0,4050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1356,8.7153,10.483102706667855,-66.22222222222202,6.908,7.931,2.031764705882353,-9679.153021978043,10.387243551678514,8.715299999999996,7.043356448321477,-0.4020336615536184,-56.901785714285666,-71.23214285714282,-2.3869999999999996
2019-07-17,8.1,9.3,6.9,8.1,8.1,8.1,8.1,8.1,6.908,6.908,6.908,6.908,6.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8969,8.59595,10.483102706667855,-99.33333333333309,6.908,6.908,0.0,-9679.153021978043,10.419263958154044,8.595949999999995,6.772636041845945,-0.46370828964570343,-42.57142857142849,-56.901785714285644,-2.3869999999999996
2019-07-18,8.1,9.3,6.9,8.1,8.1,8.1,8.1,8.1,6.908,6.908,6.908,6.908,6.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.658199999999999,8.4766,10.483102706667854,-99.33333333333309,6.908,6.908,0.0,-9679.153021978043,10.410403754262422,8.476599999999994,6.542796245737566,-0.5067444422575003,-42.57142857142849,-47.34821428571419,-2.3869999999999996
